id,atwood,viscosity,resolution,growth_rate,amplitude_0,r_squared,std_error,time_range,n_points,method,all_methods,growth_rate_theory,relative_error
input_A0.5_nu1.00e-03_res256_output.npz,0.5,0.001,256,62.58452801126391,0.0010161799696746167,0.9953478620121124,1.512727972862149,"[np.float64(0.013000000000000001), np.float64(0.022)]",10,linear,"{'linear': {'growth_rate': np.float64(62.58452801126391), 'amplitude_0': np.float64(0.0010161799696746167), 'r_squared': np.float64(0.9953478620121124), 'std_error': np.float64(1.512727972862149), 'time_range': [np.float64(0.013000000000000001), np.float64(0.022)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.04109548339827), 'amplitude_0': np.float64(0.003215041201393366), 'r_squared': np.float64(0.9493302721823001), 'std_error': np.float64(0.5120810214448261), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(11.733408066480065), 'all_growth_rates': [-447.35814806752876, 11.733408066480065, -35.296483666147765, -86.05185374850099, -86.05185374850099], 'mode_amplitudes': [6.575301714788876e-05, 0.013416968873286608, 0.010988954660664829, 5.432848119747659e-05, 5.4328481197475e-05], 'r_squared': np.float64(0.6624972095422971), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.455034706944062), 'dominant_frequency': np.float64(150.0), 'r_squared': np.float64(0.684602750855882), 'std_error': np.float64(1.1282241596932032)}}",55.51488442905728,0.12734681256953637
input_A0.5_nu4.64e-04_res256_output.npz,0.5,0.000464,256,54.08010959285142,0.0009206927447092464,0.995332572390348,1.3093243860822783,"[np.float64(0.014), np.float64(0.023)]",10,linear,"{'linear': {'growth_rate': np.float64(54.08010959285142), 'amplitude_0': np.float64(0.0009206927447092464), 'r_squared': np.float64(0.995332572390348), 'std_error': np.float64(1.3093243860822783), 'time_range': [np.float64(0.014), np.float64(0.023)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(17.90290248297618), 'amplitude_0': np.float64(0.0025138127432405536), 'r_squared': np.float64(0.947165213232912), 'std_error': np.float64(0.519198494885349), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(12.721693221807726), 'all_growth_rates': [12.721693221807726, -32.1510104738481, -1684.922390656326, nan, nan], 'mode_amplitudes': [0.010797522415487742, 0.008862619401992438, 0.00012012119079335068, 0.00025534253147395066, 0.00015477031701425532], 'r_squared': np.float64(0.8201155314784756), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.446574446531876), 'dominant_frequency': np.float64(80.0), 'r_squared': np.float64(0.6863345190392832), 'std_error': np.float64(1.1231243931849986)}}",55.51488442905728,0.025844867569514013
input_A0.5_nu1.00e-06_res256_output.npz,0.5,1e-06,256,125.38934777320252,2.1130894488945345e-05,0.9890935570654296,4.655201982045892,"[np.float64(0.0), np.float64(0.009000000000000001)]",10,linear,"{'linear': {'growth_rate': np.float64(125.38934777320252), 'amplitude_0': np.float64(2.1130894488945345e-05), 'r_squared': np.float64(0.9890935570654296), 'std_error': np.float64(4.655201982045892), 'time_range': [np.float64(0.0), np.float64(0.009000000000000001)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(20.08673405447249), 'amplitude_0': np.float64(0.0002732024544778614), 'r_squared': np.float64(0.9004986507438579), 'std_error': np.float64(0.8587177978396762), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(14.857878753667036), 'all_growth_rates': [14.857878753667036, -220.05602463221712, -220.05602463221712, -352.89754556658943, -352.89754556658943], 'mode_amplitudes': [0.00019635630209886772, 6.596497959804911e-06, 6.5964979598049364e-06, 0.00011130734302240464, 0.00011130734302240465], 'r_squared': np.float64(-1.6056895335137011), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(18.330590061946076), 'dominant_frequency': np.float64(30.0), 'r_squared': np.float64(0.5200523761454123), 'std_error': np.float64(1.7788395946666349)}}",55.51488442905728,1.2586617816603423
input_A0.3_nu2.15e-05_res256_output.npz,0.3,2.15e-05,256,54.11390854143689,0.0002540502405969656,0.9962944403175849,1.1668014567005127,"[np.float64(0.015), np.float64(0.024)]",10,linear,"{'linear': {'growth_rate': np.float64(54.11390854143689), 'amplitude_0': np.float64(0.0002540502405969656), 'r_squared': np.float64(0.9962944403175849), 'std_error': np.float64(1.1668014567005127), 'time_range': [np.float64(0.015), np.float64(0.024)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.09655478202957), 'amplitude_0': np.float64(0.0006941192782797483), 'r_squared': np.float64(0.9482598150763563), 'std_error': np.float64(0.5201255921304672), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(9.293601048889744), 'all_growth_rates': [-111.2030578955846, 9.293601048889744, -26.715976781643445, -334.7670160735945, -334.7670160735945], 'mode_amplitudes': [7.282247017147349e-06, 0.003689812375886541, 0.0031568227970670826, 1.0753464286985302e-05, 1.0753464286985238e-05], 'r_squared': np.float64(0.7076046286647977), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.544732830109833), 'dominant_frequency': np.float64(180.0), 'r_squared': np.float64(0.6860414348954923), 'std_error': np.float64(1.1305967040005271)}}",43.001644572073666,0.2584148601744364
input_A0.5_nu2.15e-06_res256_output.npz,0.5,2.15e-06,256,53.22257932524514,0.00015521666398400744,0.9858951507774277,2.250711257600174,"[np.float64(0.014), np.float64(0.023)]",10,linear,"{'linear': {'growth_rate': np.float64(53.22257932524514), 'amplitude_0': np.float64(0.00015521666398400744), 'r_squared': np.float64(0.9858951507774277), 'std_error': np.float64(2.250711257600174), 'time_range': [np.float64(0.014), np.float64(0.023)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.462519626178583), 'amplitude_0': np.float64(0.0004022252675812457), 'r_squared': np.float64(0.9338276425780031), 'std_error': np.float64(0.610771994440274), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(14.387410059876862), 'all_growth_rates': [-189.2925339702564, -611.606573829592, -611.606573829592, 14.387410059876862, -132.90961106393758], 'mode_amplitudes': [4.3613932559275573e-08, 6.503667498907539e-07, 6.503667498907443e-07, 0.00014844639732465272, 4.672888561871491e-05], 'r_squared': np.float64(-2.6136368297281485), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(17.164312995264634), 'dominant_frequency': np.float64(10.0), 'r_squared': np.float64(0.6089276880250026), 'std_error': np.float64(1.389501631413927)}}",55.51488442905728,0.04129172072296191
input_A0.3_nu1.00e-05_res256_output.npz,0.3,1e-05,256,65.87831612448132,0.00016360606163156422,0.9934446392195599,1.8920123214643285,"[np.float64(0.011), np.float64(0.02)]",10,linear,"{'linear': {'growth_rate': np.float64(65.87831612448132), 'amplitude_0': np.float64(0.00016360606163156422), 'r_squared': np.float64(0.9934446392195599), 'std_error': np.float64(1.8920123214643285), 'time_range': [np.float64(0.011), np.float64(0.02)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.04465745192858), 'amplitude_0': np.float64(0.0005375083912414973), 'r_squared': np.float64(0.9492346348891002), 'std_error': np.float64(0.5127653863025293), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(10.254730631463469), 'all_growth_rates': [10.254730631463469, -29.227923065961694, -412.9984689120883, -135.30566274931613, -135.30566274931613], 'mode_amplitudes': [0.0026718787113590046, 0.002271374378056471, 1.6769021396492733e-05, 1.3054352785157733e-05, 1.3054352785157696e-05], 'r_squared': np.float64(0.7404917514109449), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.484013685692126), 'dominant_frequency': np.float64(210.0), 'r_squared': np.float64(0.6875452413203085), 'std_error': np.float64(1.1225168269813335)}}",43.001644572073666,0.5319952708800427
input_A0.3_nu4.64e-06_res256_output.npz,0.3,4.64e-06,256,70.28069934120057,0.00011756680519457136,0.9915812320116055,2.2895556413336653,"[np.float64(0.01), np.float64(0.019)]",10,linear,"{'linear': {'growth_rate': np.float64(70.28069934120057), 'amplitude_0': np.float64(0.00011756680519457136), 'r_squared': np.float64(0.9915812320116055), 'std_error': np.float64(2.2895556413336653), 'time_range': [np.float64(0.01), np.float64(0.019)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.180442739487425), 'amplitude_0': np.float64(0.0004125666793953457), 'r_squared': np.float64(0.9481699846268669), 'std_error': np.float64(0.5236374490247134), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(11.859417954823003), 'all_growth_rates': [11.859417954823003, -34.236569177066436, -81.97703797109001, -81.97703797109001, -78.36606422734508], 'mode_amplitudes': [0.0019203552410132438, 0.0016869763164738436, 7.016465445891205e-05, 7.016465445891217e-05, 2.3875034306072832e-05], 'r_squared': np.float64(0.8261492142727851), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.628895989334463), 'dominant_frequency': np.float64(120.0), 'r_squared': np.float64(0.6840607502264174), 'std_error': np.float64(1.1415760114364153)}}",43.001644572073666,0.6343723604199688
input_A0.5_nu4.64e-05_res256_output.npz,0.5,4.64e-05,256,59.45532147759515,0.0003906380294133554,0.9945573930144481,1.5550139898278021,"[np.float64(0.013000000000000001), np.float64(0.022)]",10,linear,"{'linear': {'growth_rate': np.float64(59.45532147759515), 'amplitude_0': np.float64(0.0003906380294133554), 'r_squared': np.float64(0.9945573930144481), 'std_error': np.float64(1.5550139898278021), 'time_range': [np.float64(0.013000000000000001), np.float64(0.022)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.058376628472026), 'amplitude_0': np.float64(0.0011627848650462137), 'r_squared': np.float64(0.948880811264527), 'std_error': np.float64(0.5153102131953213), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(11.356825166501526), 'all_growth_rates': [11.356825166501526, -31.5625135456125, -84.07775846033488, -84.07775846033488, -754.7454120699409], 'mode_amplitudes': [0.005142575710812271, 0.0042455486476903935, 9.050959738173215e-06, 9.050959738173072e-06, 9.582379003386405e-06], 'r_squared': np.float64(0.6949617571554059), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.481874830227262), 'dominant_frequency': np.float64(340.0), 'r_squared': np.float64(0.6853994673015275), 'std_error': np.float64(1.1279800519399243)}}",55.51488442905728,0.07097982980714601
input_A0.3_nu2.15e-04_res256_output.npz,0.3,0.000215,256,67.4162704337119,0.00043653257342069607,0.9958666559348128,1.53557103970721,"[np.float64(0.011), np.float64(0.02)]",10,linear,"{'linear': {'growth_rate': np.float64(67.4162704337119), 'amplitude_0': np.float64(0.00043653257342069607), 'r_squared': np.float64(0.9958666559348128), 'std_error': np.float64(1.53557103970721), 'time_range': [np.float64(0.011), np.float64(0.02)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.13794736795983), 'amplitude_0': np.float64(0.001500076257406002), 'r_squared': np.float64(0.9491463296552931), 'std_error': np.float64(0.5167650210632388), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(8.74313090467475), 'all_growth_rates': [8.74313090467475, -20.119038365976746, -36.549037205765416, -36.549037205765416, -73.02028356131439], 'mode_amplitudes': [0.00957540709137547, 0.008406827976708544, 1.481869079064727e-05, 1.481869079064717e-05, 3.6019397531540667e-06], 'r_squared': np.float64(0.8377229158439174), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.519890169800423), 'dominant_frequency': np.float64(280.0), 'r_squared': np.float64(0.6829747527673791), 'std_error': np.float64(1.1369430676208359)}}",43.001644572073666,0.5677602823007774
input_A0.3_nu1.00e-04_res256_output.npz,0.3,0.0001,256,73.03495416189176,0.00031616032282004534,0.9868856288946795,2.976638465697546,"[np.float64(0.01), np.float64(0.019)]",10,linear,"{'linear': {'growth_rate': np.float64(73.03495416189176), 'amplitude_0': np.float64(0.00031616032282004534), 'r_squared': np.float64(0.9868856288946795), 'std_error': np.float64(2.976638465697546), 'time_range': [np.float64(0.01), np.float64(0.019)], 'n_points': 10, 'method': 'linear', 'all_methods': {...}}, 'exponential': {'growth_rate': np.float64(18.033962019267072), 'amplitude_0': np.float64(0.0011632411587370194), 'r_squared': np.float64(0.9493364119993569), 'std_error': np.float64(0.5117105332050016), 'time_range': [np.float64(0.005), np.float64(0.099)]}, 'dmd': {'growth_rate': np.float64(11.561595075226158), 'all_growth_rates': [11.561595075226158, -23.296068155004036, -90.32215267422634, -90.32215267422634, -99.32341210116033], 'mode_amplitudes': [0.006135998644154539, 0.005233760793973278, 8.654278951012206e-06, 8.654278951012158e-06, 1.6062748811407178e-05], 'r_squared': np.float64(0.9090856919303407), 'n_modes': 5}, 'fourier': {'growth_rate': np.float64(16.441351721486367), 'dominant_frequency': np.float64(160.0), 'r_squared': np.float64(0.6849920162533619), 'std_error': np.float64(1.1262699784950796)}}",43.001644572073666,0.6984223484634463
